,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,gTON_STN_MEAN_nS_pF,gTON_STN_SIGMA,gTON_STN_THETA,gTON_CL_S_MEAN_nS_pF,gTON_CL_S_SIGMA,gTON_CL_S_THETA,gTON_CL_D_MEAN_nS_pF,gTON_CL_D_SIGMA,gTON_CL_D_THETA,gKCC2_S_nS_pF,gKCC2_D_nS_pF,gTRPC3_nS_pF,gHCN_nS_pF,gCA_nS_pF,gL_nS_pF,gSK_nS_pF,gNAP_nS_pF,gNAF_nS_pF,gKDR_nS_pF,gSD_nS,soma_noise_intensity,soma_noise_intensity_theta,dend_noise_intensity,dend_noise_intensity_theta,Eleak_mV,CL_in_S,CL_in_D,Iapp,Iapp_dend,gpe_stim,gpe_stim_freqs,gpe_poisson,W_gpe,gpe_start_time,gpe_base_length,gpe_stim_length,gpe_post_length,str_stim,str_stim_freqs,str_poisson,W_str,str_start_time,str_base_length,str_stim_length,str_post_length,tausyn,tauexc,tausyn_dend,pre_exp_fr,pre_exp_cv,pre_exp_fr_zscore,pre_exp_cv_zscore,connections,total_weight,sim,rel_error
0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,100410.0,10.0,0.0238258265358561,0.002,0.001,0.001084974,0.002,0.001,0.001084974,0.0008,0.0004,0.000746,0.00024618,0.171525,0.0,0.78543,0.077307,0.009171,0.258877,15.1649,50.7399,26.5,0.24896,0.1,0.09952,0.04,-60.5516,8.43755916949643,11.553330924338727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,1e-323,2.0,0.2510161869900741,-0.5500417121811177,0.8460911995902759,2.0,0.815914,1005.0,0.0018187091584212
1,1.0,1.0,1.0,1.0,1.0,1.0,223.0,48987.0,87.0,0.0274498776071032,0.002,0.001,0.000608124,0.002,0.001,0.000608124,0.0008,0.0004,0.003026,0.00099858,0.092705,0.0,0.430305,0.048689,0.008068,0.169934,31.1721,38.8836,26.5,0.96832,0.1,0.38736,0.04,-57.8398,4.876754971916531,6.332609751259411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,6.44555e-314,4.0,0.3617382682855741,-0.5472940684483523,1.1759202138682998,3.0,0.67847,490.0,0.0782889064418901
2,2.0,2.0,2.0,2.0,2.0,2.0,221.0,104463.0,63.0,0.0538610149260649,0.002,0.001,0.001307691,0.002,0.001,0.001307691,0.0008,0.0004,0.008863,0.00292479,0.090832,0.0,0.7338,0.042583,0.009785,0.183954,38.1829,51.1943,26.5,0.14864,0.1,0.0595199999999998,0.04,-56.615,4.661489928365597,5.795001881620975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,6.43617e-314,4.0,0.0705989198123984,-1.0087926415777893,-0.8299131407662823,2.0,0.846957,1045.0,0.0061029615368163
3,3.0,3.0,3.0,3.0,3.0,3.0,150.0,78859.0,59.0,0.0639877587417054,0.002,0.001,0.001261689,0.002,0.001,0.001261689,0.0008,0.0004,0.000865,0.00028545,0.09451,0.0,0.533496,0.03053,0.007169,0.115043,12.8204,60.4706,26.5,0.17536,0.1,0.07008,0.04,-55.5179,8.445700400013706,11.560564420670541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,6.48281e-314,3.0,0.3560571026154536,-0.90280820983851,1.1003922868336986,2.0,0.651833,789.0,0.0776641284698416
4,4.0,4.0,4.0,4.0,4.0,4.0,61.0,89698.0,98.0,0.0221085326875704,0.002,0.001,0.00317526,0.002,0.001,0.00317526,0.0008,0.0004,0.00071,0.0002343,0.044133,0.0,0.809074,0.025437,0.011965,0.163143,41.0137,64.4101,26.5,0.13664,0.1,0.05472,0.04,-61.0014,11.589849996822906,13.667737500415665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,2.5,0.052821874679596,-0.7767360365327276,-0.5980756794776787,2.0,0.5510539999999999,897.0,0.1970366442995458
5,5.0,5.0,5.0,5.0,5.0,5.0,197.0,58161.0,61.0,0.0525396533513233,0.002,0.001,0.001311618,0.002,0.001,0.001311618,0.0008,0.0004,0.005904,0.00194832,0.102077,0.0,0.656789,0.037469,0.005557,0.235087,18.626,55.3847,26.5,1.80016,0.1,0.72,0.04,-59.3461,4.960615301618525,6.5319564817910525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,4.25287e-314,3.5,0.2052738035614249,-0.6658263976270694,0.3880631632932877,2.0,0.401877,582.0,0.0070577079726187
6,6.0,6.0,6.0,6.0,6.0,6.0,188.0,58164.0,64.0,0.0580158392987953,0.002,0.001,0.00058344,0.002,0.001,0.00058344,0.0008,0.0004,0.00496,0.0016368,0.074683,0.0,0.636782,0.044076,0.010724,0.15529,50.4488,63.0627,26.5,1.22768,0.1,0.49104,0.04,-60.5303,4.538600258093683,5.471115607483135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,3.14384e-319,3.0,0.1471589176676803,-0.7329459941620562,0.0061029771133743,2.0,0.090351,582.0,0.0240742555080489
7,7.0,7.0,7.0,7.0,7.0,7.0,134.0,83141.0,41.0,0.0299705854394968,0.002,0.001,0.003399099,0.002,0.001,0.003399099,0.0008,0.0004,0.00376,0.0012408,0.106711,0.0,0.613854,0.048737,0.006151,0.126082,32.6539,48.2419,26.5,2.09456,0.1,0.83776,0.04,-59.5337,7.188327307450704,10.26834960580206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,6.43493e-314,1.5,0.3396957864020186,-1.2288385601237133,1.1028568221413688,6.0,1.429099,832.0,0.0350690184902967
8,8.0,8.0,8.0,8.0,8.0,8.0,183.0,100149.0,49.0,0.0435628923804681,0.002,0.001,0.00373626,0.002,0.001,0.00373626,0.0008,0.0004,0.001314,0.00043362,0.160002,0.0,0.499531,0.046096,0.009387,0.165796,30.4724,38.8417,26.5,1.57392,0.1,0.6296,0.04,-58.2929,10.374512246065187,12.985612467702424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,6.44635e-314,4.5,0.4096910142616522,-0.3922539140480572,1.4586193589853491,2.0,0.7943830000000001,1002.0,0.0018205478575616
9,9.0,9.0,9.0,9.0,9.0,9.0,102.0,1853.0,53.0,0.0287019729336183,0.002,0.001,0.0017548079999999,0.002,0.001,0.0017548079999999,0.0008,0.0004,0.003176,0.00104808,0.086169,0.0,0.798471,0.036765,0.008085,0.171093,33.7487,47.2315,26.5,0.1763199999999998,0.1,0.07056,0.04,-57.287,6.150890811619045,8.838977735191575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,4.26863e-314,8.5,0.1154294022543187,0.0809781793206134,-0.3109615887683641,2.0,0.227193,19.0,0.0083678699331265
